Date,Open,High,Low,Close,Volume
2023-01-02,75100,76700,75000,75700,1376985
2023-01-03,75600,76300,73100,75600,2719437
2023-01-04,75400,81900,75200,81000,5154609
2023-01-05,83300,83300,80800,81400,3510964
2023-01-06,81400,83600,81100,83100,3687430
2023-01-09,84900,86000,83500,86000,3948670
2023-01-10,85500,87200,85000,86500,3105311
2023-01-11,87800,88400,86500,87300,3083961
2023-01-12,88100,88100,85800,86800,3065582
2023-01-13,86800,87500,85400,85700,2058890
2023-01-16,86000,86500,84900,85800,1512876
2023-01-17,86400,87200,85700,86000,1586136
2023-01-18,86400,86500,84500,85100,1494262
2023-01-19,84000,85800,84000,85500,1674834
2023-01-20,86300,87800,86100,87600,2386074
2023-01-25,92000,92000,90600,91400,3611901
2023-01-26,90800,92300,90100,92300,2319962
2023-01-27,91300,92800,90300,91500,2553811
2023-01-30,91300,91600,90000,90700,2603297
2023-01-31,90800,90800,86800,88500,5185088
2023-02-01,91200,91400,88500,91400,3889171
2023-02-02,94900,94900,92700,93400,4350607
2023-02-03,92400,93200,91300,92200,2925123
2023-02-06,91400,92000,89100,89100,2819903
2023-02-07,88800,91200,88800,90800,2166265
2023-02-08,91700,95000,91600,94900,3964981
2023-02-09,94800,94800,92600,94400,2726568
2023-02-10,94300,94700,93100,93500,1971090
2023-02-13,92000,92000,89900,90600,3159031
2023-02-14,91800,93500,91600,93400,2185525
2023-02-15,93800,94200,91200,91700,1801577
2023-02-16,91900,93400,91600,92900,1812496
2023-02-17,91400,92700,90900,92000,1691509
2023-02-20,92700,93300,90700,92500,1774617
2023-02-21,92500,92600,90900,91200,1477419
2023-02-22,89900,90300,88500,89100,2301835
2023-02-23,90000,93700,89600,92700,3659678
2023-02-24,93500,94000,91000,91000,2496352
2023-02-27,90100,90300,89100,90000,1893345
2023-02-28,91000,91000,88700,89400,2082486
2023-03-02,89400,90300,87500,88100,2744038
2023-03-03,88500,89200,87200,87300,2239958
2023-03-06,87900,89800,87500,89700,2374415
2023-03-07,89700,90000,88800,88900,1610948
2023-03-08,87700,87800,86400,86800,2790989
2023-03-09,87300,87800,85300,85600,3315016
2023-03-10,83800,84400,83100,83300,3559824
