Date,Open,High,Low,Close,Volume
2014-01-02,251000,253000,244500,244500,139646
2014-01-03,247500,249000,237000,237000,181884
2014-01-06,236000,236500,230000,234000,225073
2014-01-07,236000,241500,235000,237500,133902
2014-01-08,238500,240500,220500,224000,638009
2014-01-09,222500,227500,220000,221000,380438
2014-01-10,222500,225000,211000,223000,730115
2014-01-13,224500,225500,215500,218000,289892
2014-01-14,216000,219500,214000,219500,215949
2014-01-15,220500,227500,219500,223500,251594
2014-01-16,226000,230000,224000,228000,289620
2014-01-17,226000,228000,216000,217000,356618
2014-01-20,213000,216500,206000,208000,338211
2014-01-21,207500,212000,205000,210500,206078
2014-01-22,210500,217000,209000,216500,189618
2014-01-23,217500,217500,209500,213500,211403
2014-01-24,211500,212500,204500,206500,210599
2014-01-27,200000,203500,196500,196500,317122
2014-01-28,193000,199500,190500,198500,437862
2014-01-29,199500,201500,197500,198500,160955
2014-02-03,194000,196500,190000,190000,238500
2014-02-04,186500,194500,186500,190500,273909
2014-02-05,193000,199000,193000,197000,242011
2014-02-06,197500,200000,195000,200000,143636
2014-02-07,201000,202000,197500,200000,116811
2014-02-10,202000,206000,201000,204000,182623
2014-02-11,203500,211000,203000,204000,195472
2014-02-12,204500,209000,197000,209000,214144
2014-02-13,212500,218000,211000,215000,427186
2014-02-14,215500,216000,209500,210500,198085
2014-02-17,212000,213000,207500,212000,120733
2014-02-18,212000,213000,208500,209000,84471
2014-02-19,207500,210500,205000,208500,203178
2014-02-20,208500,212000,206000,208000,150736
2014-02-21,208000,210000,202000,203000,231981
2014-02-24,202000,202500,187500,188000,689442
2014-02-25,190000,194500,186000,193500,375780
2014-02-26,194000,196000,192000,192500,187972
2014-02-27,192500,198500,192500,196500,195648
2014-02-28,196500,196500,189500,191000,244351
2014-03-03,191500,196000,189000,194000,210960
2014-03-04,195500,197500,193500,197000,154035
2014-03-05,197500,202000,196000,201000,305576
2014-03-06,201000,209500,201000,209500,385843
2014-03-07,210000,211500,206500,210500,156610
2014-03-10,211000,214500,204500,204500,225039
2014-03-11,205500,207500,202500,203000,123885
2014-03-12,203000,204000,196000,198000,193519
2014-03-13,200000,217000,200000,215000,366409
2014-03-14,213500,220000,211500,215000,254214
2014-03-17,223000,229000,219000,222500,317988
2014-03-18,223500,224000,215500,221000,242099
2014-03-19,223500,229000,216500,223000,282023
2014-03-20,223000,226000,217500,222000,166289
2014-03-21,225000,225500,221500,223000,98444
2014-03-24,223500,228000,221000,227500,139601
2014-03-25,226000,228000,219000,222000,159197
2014-03-26,221500,222000,215500,219000,177089
2014-03-27,216500,222500,216500,222500,173158
2014-03-28,222500,223500,218000,220000,114264
2014-03-31,220500,221000,215500,218000,128925
2014-04-01,217500,223000,216500,219500,165993
2014-04-02,219500,229000,217500,227500,317263
2014-04-03,229000,230000,223500,224500,155215
2014-04-04,223500,224000,219000,221000,173705
2014-04-07,220000,220000,209000,210000,333943
2014-04-08,209000,212000,207500,210000,112139
2014-04-09,212000,213500,209500,210500,76076
2014-04-10,212000,215500,211000,213500,102914
