Date,Open,High,Low,Close,Volume
2024-01-02,53300,53800,52700,53600,811158
2024-01-03,53200,53600,52600,52600,689245
2024-01-04,52100,52400,51700,51700,755382
2024-01-05,51600,51700,51100,51300,569782
2024-01-08,51700,52500,51500,52200,539904
2024-01-09,52800,52900,52100,52400,470134
2024-01-10,51600,52100,51300,51300,4539715
2024-01-11,51500,52200,51000,51000,1704375
2024-01-12,51200,51400,50600,51000,1169346
2024-01-15,51000,51800,50900,51600,708782
2024-01-16,51200,51500,50800,51100,736825
2024-01-17,50800,51300,49750,49800,1340792
2024-01-18,49450,49700,49200,49400,873664
2024-01-19,49500,49750,48900,49500,860502
2024-01-22,49100,49850,49100,49300,1063329
2024-01-23,50300,51500,50000,51400,1800015
2024-01-24,51400,53000,51000,52100,1825246
2024-01-25,51700,52900,51600,52900,1478934
2024-01-26,52500,53900,52500,53800,1997168
2024-01-29,53900,56000,53300,55600,2107798
2024-01-30,55900,56700,55100,55900,1842740
2024-01-31,55100,57000,55000,56600,1343293
2024-02-01,58700,61500,57700,61300,4269503
2024-02-02,62400,66500,61500,66300,5492430
2024-02-05,65000,65600,61500,62700,4587829
2024-02-06,62100,64400,61700,63100,2056719
2024-02-07,62500,66400,62100,64700,2483851
2024-02-08,65400,67600,65000,67600,2402421
2024-02-13,70100,71100,67900,69700,2716168
2024-02-14,67900,68500,66500,67300,1484617
2024-02-15,66000,66700,65000,65100,7779512
2024-02-16,65600,67700,64700,67700,2072109
2024-02-19,67800,69900,67800,68800,1838345
2024-02-20,69000,69300,65300,67900,1717155
2024-02-21,65900,67200,64100,65100,2802649
2024-02-22,64400,65600,63100,64900,2438017
2024-02-23,65000,66600,64500,65800,1813624
2024-02-26,64200,64800,59700,62500,2648251
2024-02-27,62000,63200,61500,62400,1643919
2024-02-28,62000,62900,60900,62300,1588795
2024-02-29,61900,64200,61900,63500,3356139
2024-03-04,65700,69500,64000,69000,4010440
2024-03-05,70500,72900,69500,69500,3649003
2024-03-06,70000,70500,68100,69800,1954067
2024-03-07,69000,71600,68900,71200,2090836
2024-03-08,70500,71300,69600,70900,1777459
2024-03-11,70100,71200,69200,70700,1416572
2024-03-12,71300,74500,70900,73200,2220086
2024-03-13,73900,78500,73500,77500,3013824
2024-03-14,75900,78600,75500,78600,2287531
