Date,Open,High,Low,Close,Volume
2022-01-04,35229.58594,39550,39700,39150,96773
2022-01-05,35229.58594,39550,40050,39250,172616
2022-01-06,35674.96094,40050,40250,39100,212023
2022-01-07,35363.19531,39700,40550,39650,205446
2022-01-10,35452.26953,39800,40050,39450,136777
2022-01-11,35363.19531,39700,40050,39350,210882
2022-01-12,36120.34375,40550,40550,40000,314027
2022-01-13,35897.65234,40300,40800,40150,238584
2022-01-14,35541.35156,39900,40250,39750,153503
2022-01-17,34873.27734,39150,39900,39050,155099
2022-01-18,34917.81641,39200,39400,38900,156508
2022-01-19,35496.8125,39850,40700,39200,278134
2022-01-20,35229.58594,39550,40300,39350,148859
2022-01-21,34784.20313,39050,39450,38850,180453
2022-01-24,34427.89844,38650,39500,38600,174630
2022-01-25,33759.82813,37900,38700,37600,231614
2022-01-26,33759.82813,37900,37900,37900,0
2022-01-27,33002.67969,37050,38550,37050,228115
2022-01-28,34160.67188,38350,38400,37000,177058
2022-02-03,35051.42969,39350,39750,38700,194576
2022-02-04,35585.88672,39950,40150,39500,147872
2022-02-07,35585.88672,39950,40100,39400,152386
2022-02-08,35585.88672,39950,39950,39950,0
2022-02-09,35585.88672,39950,39950,39950,0
2022-02-10,36521.18359,41000,41350,40650,283013
2022-02-11,37055.64453,41600,42100,40900,379004
2022-02-14,36877.49219,41400,42050,41100,237290
2022-02-15,36387.57031,40850,41650,40300,185918
2022-02-16,36565.72656,41050,41200,40200,214846
2022-02-17,36966.56641,41500,41600,41000,203958
2022-02-18,36387.57031,40850,41400,40800,154049
2022-02-21,36387.57031,40850,40850,40850,0
2022-02-22,36387.57031,40850,40850,40850,0
2022-02-23,36387.57031,40850,40850,40850,0
2022-02-24,36343.03516,40800,41000,39800,249957
2022-02-25,36075.80469,40500,40850,40050,156114
2022-02-28,36075.80469,40500,40500,40500,0
2022-03-02,36832.95313,41350,41750,40400,352161
2022-03-03,36832.95313,41350,41350,41350,0
2022-03-04,36832.95313,41350,41350,41350,0
2022-03-07,37322.87109,41900,43200,41850,306880
2022-03-08,36209.41797,40650,42200,40550,223253
2022-03-10,36209.41797,40650,40650,40650,0
2022-03-11,36209.41797,40650,40650,40650,0
2022-03-14,36387.57031,40850,41200,40250,222385
2022-03-15,36387.57031,40850,40850,40850,0
2022-03-16,36387.57031,40850,40850,40850,0
2022-03-17,36387.57031,40850,40850,40850,0
2022-03-18,35897.65234,40300,40300,39800,230320
2022-03-21,35897.65234,40300,40300,40300,0
2022-03-22,35764.03906,40150,40450,40050,91260
2022-03-23,36075.80469,40500,40700,40200,147263
2022-03-24,36075.80469,40500,41100,40400,167185
2022-03-25,36343.03516,40800,40850,40200,160431
2022-03-28,38347.24219,43050,43050,40450,756587
2022-03-29,38258.16797,42950,43350,42500,445370
2022-03-30,37946.40234,42600,43050,42100,233913
2022-03-31,39104.39063,43900,44000,42250,420439
2022-04-01,39148.92969,43950,44500,43200,346586
2022-04-04,39817,44700,44750,43650,246108
2022-04-05,39906.07422,44800,44850,44200,207133
2022-04-06,39727.92578,44600,44750,43750,209043
2022-04-07,38436.32031,43150,44200,43050,370388
2022-04-08,38569.93359,43300,43500,42750,146616
2022-04-11,39549.77344,44400,44650,42700,224601
2022-04-12,38837.16406,43600,44000,43450,149965
2022-04-13,39371.61719,44200,44400,43900,121794
2022-04-14,39416.15625,44250,44550,43900,170714
2022-04-15,39371.61719,44200,44450,43650,181322
2022-04-18,39460.69531,44300,44750,43750,135532
2022-04-19,39594.30859,44450,44500,43800,193303
2022-04-20,39638.84766,44500,44550,43800,225924
2022-04-21,39238.00781,44050,44650,43850,177465
2022-04-22,39282.54297,44100,44150,43250,132700
2022-04-25,39059.85156,43850,44550,43450,233178
2022-04-26,38881.69922,43650,44000,43400,127573
2022-04-27,38970.77734,43750,44050,42800,199625
2022-04-28,39148.92969,43950,44200,43250,260800
2022-04-29,38926.24219,43700,44050,43400,277133
2022-05-02,39683.38281,44550,44550,43200,259566
2022-05-03,40173.30469,45100,45250,44150,283855
2022-05-04,41598.52344,46700,47050,45200,653974
2022-05-06,42489.28125,47700,47950,46100,499765
2022-05-10,42177.51563,47350,48050,47150,532647
2022-05-11,41375.83203,46450,47550,45650,449959
2022-05-12,41732.13281,46850,47850,45800,396400
2022-05-13,42266.58984,47450,47750,47000,246064
2022-05-16,41687.59766,46800,47850,46100,277158
2022-05-17,41865.75,47000,47600,46500,353528
2022-05-18,40974.98828,46000,47200,45800,340531
2022-05-19,40485.07031,45450,45500,44900,313370
2022-05-20,40752.30078,45750,46500,45450,357217
2022-05-23,40173.30469,45100,45900,44400,323356
2022-05-24,38080.01563,42750,44950,42700,940984
2022-05-25,38659.01172,43400,43550,42900,468684
2022-05-26,39059.85156,43850,43850,43050,255422
2022-05-27,39772.46094,44650,44800,43950,293368
2022-05-30,39683.38281,44550,44950,44250,223806
2022-05-31,40440.53125,45400,45400,44400,701568
2022-06-02,40885.91406,45900,46250,45200,392490
2022-06-03,41420.36719,46500,46550,45950,178558
2022-06-07,42132.98047,47300,47800,46500,450838
2022-06-08,42711.97266,47950,48100,46950,284180
2022-06-09,42667.43359,47900,48600,47550,376393
2022-06-10,42355.66797,47550,48300,47250,254659
2022-06-13,41242.21484,46300,47550,46000,324235
2022-06-14,40974.98828,46000,46150,45150,318761
2022-06-15,40529.60938,45500,46150,45000,273344
2022-06-16,40663.22266,45650,46350,45350,303675
2022-06-17,40395.99219,45350,45700,44300,490649
2022-06-20,38169.09375,42850,45400,42500,669790
2022-06-21,38080.01563,42750,43500,42500,187743
2022-06-22,37634.63672,42250,43450,42000,288034
2022-06-23,36031.26953,40450,42350,40200,405266
2022-06-24,36832.95313,41350,41400,39900,356406
2022-06-27,36966.56641,41500,41750,40650,196428
2022-06-28,37189.25781,41750,42500,41350,274651
2022-06-29,38124.55469,42800,43000,41600,288512
2022-06-30,37278.33203,41850,42900,41750,212310
2022-07-01,36432.10938,40900,42700,40550,223271
2022-07-04,36164.88281,40600,41200,40000,204840
2022-07-05,36476.64453,40950,41050,40200,209505
2022-07-06,34249.74609,38450,40350,38300,560899
